Código Tipo Supuesto Urgente,Código Distrito Centro,Age_range_code,Nationality_code,Sex_code,year
40.0,15,6,1,1,2019
40.0,16,6,1,0,2019
40.0,10,6,2,1,2019
30.0,10,0,2,1,2019
30.0,13,3,2,1,2019
40.0,20,6,2,1,2019
40.0,6,6,1,1,2019
30.0,18,0,2,1,2019
30.0,17,0,2,1,2019
30.0,11,2,2,1,2019
30.0,11,3,2,0,2019
30.0,11,2,1,1,2019
30.0,11,2,2,1,2019
50.0,11,2,2,1,2019
40.0,1,6,1,1,2019
40.0,15,6,1,1,2019
50.0,15,2,2,1,2019
10.0,15,3,2,1,2019
10.0,8,0,2,1,2019
40.0,8,6,1,1,2019
40.0,8,6,1,1,2019
40.0,8,6,1,1,2019
50.0,16,4,1,0,2019
40.0,10,6,1,1,2019
40.0,10,6,1,1,2019
40.0,10,6,2,1,2019
40.0,10,6,1,1,2019
40.0,10,6,1,0,2019
30.0,9,6,2,0,2019
30.0,13,1,2,0,2019
30.0,20,0,2,0,2019
40.0,20,6,1,1,2019
30.0,6,2,2,1,2019
30.0,6,1,2,1,2019
40.0,6,6,1,1,2019
40.0,12,6,1,0,2019
40.0,17,6,1,1,2019
40.0,2,6,1,1,2019
30.0,11,2,2,0,2019
30.0,11,0,1,1,2019
10.0,11,2,1,1,2019
30.0,11,1,2,1,2019
30.0,1,2,2,1,2019
40.0,5,6,1,0,2019
50.0,15,6,1,1,2019
40.0,15,6,1,0,2019
40.0,15,6,1,1,2019
40.0,10,6,1,1,2019
50.0,10,0,2,1,2019
40.0,10,6,1,1,2019
40.0,10,6,1,0,2019
40.0,10,6,1,0,2019
30.0,14,1,2,1,2019
30.0,13,2,1,0,2019
30.0,13,4,2,1,2019
30.0,13,2,2,0,2019
30.0,6,1,2,1,2019
30.0,6,1,2,1,2019
40.0,6,6,1,1,2019
50.0,18,2,2,1,2019
40.0,2,6,1,1,2019
40.0,2,6,1,1,2019
30.0,1,2,1,0,2019
30.0,1,3,1,0,2019
30.0,7,3,2,1,2019
40.0,15,6,1,1,2019
40.0,15,6,1,1,2019
40.0,8,6,1,0,2019
50.0,8,6,1,1,2019
30.0,8,3,2,1,2019
30.0,16,0,1,1,2019
30.0,10,1,2,0,2019
40.0,10,6,1,1,2019
40.0,10,6,1,1,2019
40.0,10,3,2,1,2019
30.0,10,3,2,1,2019
40.0,14,6,1,1,2019
40.0,13,0,2,1,2019
50.0,13,6,2,1,2019
30.0,12,2,1,1,2019
40.0,12,6,1,1,2019
10.0,19,2,2,1,2019
30.0,18,6,1,1,2019
30.0,17,3,2,1,2019
50.0,17,2,2,1,2019
30.0,2,0,1,1,2019
30.0,2,6,2,0,2019
30.0,11,3,1,1,2019
40.0,11,6,1,0,2019
30.0,11,1,2,1,2019
30.0,11,1,2,1,2019
30.0,11,0,2,1,2019
30.0,11,6,2,1,2019
50.0,1,2,2,1,2019
40.0,15,6,1,1,2019
40.0,10,4,1,0,2019
40.0,10,6,1,1,2019
40.0,10,6,1,0,2019
30.0,10,2,1,1,2019
30.0,13,1,1,1,2019
40.0,6,6,2,1,2019
40.0,17,6,1,1,2019
40.0,2,6,1,1,2019
30.0,11,2,2,0,2019
30.0,1,3,1,1,2019
40.0,1,6,1,1,2019
30.0,15,2,2,1,2019
40.0,8,6,1,0,2019
30.0,8,1,2,1,2019
40.0,10,6,1,0,2019
40.0,10,4,1,0,2019
50.0,10,2,1,1,2019
40.0,10,6,1,0,2019
30.0,14,0,2,0,2019
40.0,14,6,1,1,2019
30.0,13,1,2,1,2019
30.0,13,0,1,0,2019
40.0,4,6,1,1,2019
30.0,20,1,1,1,2019
10.0,20,1,2,1,2019
40.0,6,6,1,1,2019
40.0,19,6,1,1,2019
10.0,17,2,1,1,2019
40.0,17,6,1,0,2019
40.0,17,3,1,0,2019
40.0,17,6,1,1,2019
30.0,17,1,2,1,2019
30.0,11,2,2,1,2019
30.0,11,2,2,0,2019
30.0,11,2,2,1,2019
30.0,1,3,1,0,2019
40.0,1,3,2,0,2019
30.0,7,3,2,1,2019
30.0,8,3,2,1,2019
10.0,8,5,1,1,2019
40.0,8,6,1,1,2019
40.0,8,6,1,1,2019
40.0,8,6,1,0,2019
40.0,13,6,1,1,2019
40.0,3,6,1,0,2019
50.0,12,1,2,1,2019
10.0,12,2,2,1,2019
50.0,12,1,2,0,2019
40.0,12,6,1,1,2019
40.0,12,6,1,0,2019
40.0,12,6,1,0,2019
30.0,17,1,2,1,2019
40.0,2,6,1,0,2019
30.0,11,2,2,1,2019
40.0,11,6,1,0,2019
30.0,11,0,2,1,2019
40.0,1,6,1,0,2019
30.0,1,6,1,0,2019
40.0,8,2,1,1,2019
30.0,8,3,2,1,2019
40.0,8,6,1,1,2019
40.0,10,6,1,1,2019
40.0,10,6,1,0,2019
40.0,10,6,1,1,2019
40.0,10,6,2,1,2019
30.0,10,1,2,1,2019
40.0,10,6,1,1,2019
10.0,14,2,1,1,2019
10.0,13,1,2,1,2019
30.0,13,1,2,0,2019
30.0,4,6,1,1,2019
30.0,20,4,2,1,2019
40.0,12,6,1,0,2019
40.0,12,6,1,0,2019
40.0,17,6,2,1,2019
30.0,2,2,2,0,2019
50.0,11,3,2,1,2019
30.0,11,3,2,1,2019
30.0,11,3,1,1,2019
30.0,15,1,2,1,2019
40.0,15,6,1,1,2019
30.0,15,6,2,1,2019
30.0,16,4,2,0,2019
30.0,10,0,2,1,2019
30.0,13,6,1,0,2019
30.0,13,4,2,1,2019
40.0,13,3,1,0,2019
50.0,13,3,2,0,2019
30.0,13,0,1,1,2019
50.0,13,6,1,0,2019
40.0,3,4,2,0,2019
40.0,4,6,1,1,2019
30.0,12,6,1,1,2019
50.0,17,1,1,1,2019
30.0,2,0,1,1,2019
30.0,11,0,2,1,2019
30.0,11,0,1,1,2019
30.0,11,2,2,1,2019
30.0,1,2,2,1,2019
50.0,15,0,1,1,2019
40.0,8,6,1,0,2019
10.0,16,2,1,1,2019
30.0,10,3,2,1,2019
50.0,10,1,2,1,2019
50.0,10,0,2,1,2019
10.0,10,1,1,1,2019
40.0,10,6,1,0,2019
30.0,10,2,2,1,2019
10.0,13,0,2,1,2019
40.0,13,6,1,0,2019
10.0,13,0,2,1,2019
30.0,6,1,2,1,2019
30.0,11,0,1,1,2019
40.0,11,6,1,1,2019
30.0,5,2,2,1,2019
40.0,7,1,2,1,2019
40.0,15,6,2,1,2019
50.0,15,0,2,0,2019
50.0,15,3,2,1,2019
30.0,15,1,2,1,2019
30.0,8,2,2,1,2019
40.0,8,6,1,0,2019
30.0,10,0,2,1,2019
40.0,10,6,1,0,2019
40.0,14,6,1,0,2019
40.0,13,6,1,1,2019
30.0,4,1,2,1,2019
30.0,4,1,2,1,2019
30.0,20,6,1,0,2019
40.0,20,6,1,1,2019
30.0,20,0,1,1,2019
30.0,6,1,2,0,2019
40.0,12,6,1,1,2019
40.0,12,6,1,1,2019
30.0,11,0,2,1,2019
30.0,11,1,1,1,2019
40.0,1,6,1,0,2019
30.0,5,0,2,1,2019
40.0,8,6,1,1,2019
30.0,10,2,2,1,2019
40.0,10,6,1,0,2019
40.0,13,6,1,0,2019
40.0,12,6,1,0,2019
40.0,19,6,1,1,2019
30.0,17,3,1,1,2019
30.0,2,2,2,0,2019
30.0,2,1,1,0,2019
30.0,1,1,1,0,2019
40.0,1,4,1,0,2019
40.0,5,6,1,0,2019
40.0,15,6,1,1,2019
40.0,15,6,1,1,2019
40.0,8,4,1,0,2019
40.0,8,6,1,1,2019
40.0,8,6,1,1,2019
30.0,8,0,1,1,2019
30.0,10,0,2,1,2019
30.0,10,1,2,1,2019
40.0,10,6,1,1,2019
40.0,10,6,1,0,2019
10.0,9,6,1,1,2019
40.0,13,1,1,0,2019
30.0,13,2,2,1,2019
30.0,13,2,2,1,2019
50.0,13,6,2,1,2019
30.0,4,6,1,0,2019
30.0,20,2,1,1,2019
50.0,20,1,1,1,2019
30.0,19,4,2,0,2019
30.0,18,1,2,1,2019
30.0,11,0,1,1,2019
30.0,11,1,2,1,2019
30.0,11,0,2,1,2019
30.0,15,0,2,1,2019
40.0,15,6,1,1,2019
40.0,15,6,1,1,2019
40.0,15,6,1,1,2019
30.0,15,2,2,1,2019
40.0,8,6,1,1,2019
30.0,10,1,1,0,2019
50.0,10,6,1,0,2019
40.0,9,6,1,1,2019
40.0,13,3,2,0,2019
40.0,13,6,1,1,2019
40.0,20,6,1,1,2019
50.0,12,3,1,1,2019
30.0,12,2,1,0,2019
30.0,12,1,2,1,2019
30.0,18,1,1,1,2019
40.0,17,6,1,1,2019
30.0,17,3,2,1,2019
40.0,2,6,1,0,2019
40.0,11,6,1,1,2019
50.0,11,1,2,1,2019
30.0,11,1,2,1,2019
40.0,5,6,1,1,2019
40.0,5,6,1,1,2019
40.0,5,6,1,1,2019
40.0,15,6,1,1,2019
30.0,8,0,1,1,2019
30.0,8,1,2,1,2019
40.0,8,1,2,1,2019
30.0,10,3,2,0,2019
40.0,10,6,1,0,2019
40.0,10,6,1,0,2019
40.0,10,6,1,1,2019
50.0,10,3,2,0,2019
10.0,10,0,1,1,2019
40.0,9,6,1,1,2019
40.0,13,6,1,1,2019
30.0,13,2,2,1,2019
30.0,13,6,2,1,2019
30.0,13,1,1,1,2019
40.0,3,6,1,1,2019
40.0,2,6,1,1,2019
30.0,11,1,2,1,2019
40.0,1,6,1,1,2019
40.0,5,6,1,1,2019
40.0,15,6,1,1,2019
40.0,15,2,1,0,2019
40.0,8,6,1,1,2019
30.0,10,0,1,0,2019
30.0,10,4,2,1,2019
30.0,13,1,1,1,2019
30.0,13,3,1,0,2019
30.0,3,2,2,0,2019
30.0,20,0,1,1,2019
30.0,20,3,2,0,2019
40.0,6,6,1,1,2019
30.0,12,6,1,1,2019
30.0,11,1,2,1,2019
30.0,11,0,2,1,2019
50.0,11,3,1,1,2019
10.0,11,2,2,1,2019
30.0,11,2,2,0,2019
10.0,11,1,2,1,2019
30.0,1,2,2,1,2019
30.0,15,0,2,0,2019
30.0,15,2,2,1,2019
40.0,8,6,1,0,2019
40.0,9,6,1,0,2019
40.0,13,1,2,1,2019
30.0,13,0,1,1,2019
30.0,20,6,1,1,2019
40.0,6,6,1,0,2019
40.0,12,6,1,1,2019
40.0,12,1,1,1,2019
30.0,19,1,1,0,2019
30.0,19,2,1,1,2019
30.0,2,1,2,1,2019
40.0,11,6,1,0,2019
40.0,11,6,1,1,2019
30.0,11,4,2,0,2019
40.0,11,6,1,1,2019
40.0,1,6,2,0,2019
40.0,1,6,1,0,2019
10.0,1,0,2,1,2019
40.0,1,3,1,0,2019
30.0,5,0,2,1,2019
30.0,7,3,1,0,2019
30.0,7,1,2,1,2019
10.0,7,1,2,1,2019
40.0,8,6,1,1,2019
40.0,8,6,1,0,2019
40.0,8,6,1,0,2019
40.0,16,6,1,1,2019
30.0,10,0,2,1,2019
30.0,10,3,1,1,2019
50.0,10,2,2,0,2019
40.0,10,6,1,0,2019
40.0,9,6,1,0,2019
30.0,9,2,2,0,2019
40.0,14,6,1,1,2019
50.0,13,1,2,1,2019
30.0,13,1,2,0,2019
30.0,13,0,2,1,2019
40.0,20,6,1,0,2019
30.0,6,2,2,1,2019
30.0,12,1,1,1,2019
30.0,18,6,2,0,2019
30.0,11,6,2,0,2019
30.0,11,4,2,0,2019
30.0,1,6,1,1,2019
30.0,7,2,1,1,2019
40.0,15,6,1,1,2019
40.0,15,6,1,1,2019
40.0,8,3,2,0,2019
30.0,8,2,2,0,2019
30.0,10,6,2,0,2019
40.0,10,6,1,0,2019
50.0,13,1,1,1,2019
40.0,13,6,1,1,2019
40.0,12,6,1,1,2019
40.0,12,6,1,0,2019
30.0,12,2,2,1,2019
30.0,18,6,2,1,2019
30.0,17,1,1,0,2019
40.0,2,6,1,0,2019
10.0,11,2,2,1,2019
30.0,11,4,2,0,2019
50.0,11,2,2,1,2019
30.0,1,2,2,0,2019
40.0,1,6,2,0,2019
40.0,1,6,1,1,2019
30.0,7,3,2,0,2019
30.0,15,0,2,1,2019
40.0,8,6,1,1,2019
40.0,16,6,1,1,2019
40.0,10,6,1,1,2019
40.0,10,6,1,1,2019
40.0,10,6,1,1,2019
40.0,10,6,1,1,2019
40.0,10,6,1,0,2019
30.0,10,2,2,1,2019
30.0,10,0,2,1,2019
40.0,9,6,1,0,2019
40.0,13,6,1,1,2019
30.0,13,2,2,1,2019
10.0,13,1,2,1,2019
30.0,20,5,1,0,2019
40.0,20,6,1,1,2019
30.0,20,0,2,0,2019
30.0,20,3,1,0,2019
40.0,20,6,1,0,2019
40.0,6,6,1,1,2019
30.0,2,0,2,1,2019
30.0,2,3,2,0,2019
30.0,11,2,2,1,2019
30.0,11,0,1,0,2019
40.0,11,6,1,1,2019
30.0,1,4,1,1,2019
50.0,8,5,1,1,2019
10.0,10,6,1,1,2019
40.0,13,6,1,1,2019
40.0,13,6,1,0,2019
30.0,13,0,1,0,2019
30.0,13,3,2,1,2019
30.0,13,6,2,0,2019
40.0,6,3,1,0,2019
50.0,11,1,2,1,2019
30.0,11,2,2,1,2019
50.0,11,3,2,1,2019
30.0,11,4,2,0,2019
10.0,1,1,1,1,2019
40.0,5,6,2,1,2019
30.0,15,6,1,0,2019
30.0,15,1,2,1,2019
10.0,15,1,2,1,2019
10.0,8,1,2,1,2019
50.0,10,3,1,1,2019
40.0,10,6,1,1,2019
40.0,10,6,1,1,2019
30.0,10,0,1,1,2019
30.0,10,2,1,0,2019
40.0,13,6,1,0,2019
40.0,4,6,1,1,2019
30.0,20,0,1,1,2019
30.0,6,2,2,1,2019
40.0,6,6,1,1,2019
30.0,12,1,2,1,2019
40.0,12,6,1,0,2019
40.0,2,4,1,1,2019
40.0,11,6,1,1,2019
30.0,11,2,1,1,2019
50.0,11,6,1,1,2019
10.0,1,3,1,1,2019
30.0,1,6,1,1,2019
40.0,15,6,1,0,2019
50.0,15,0,2,0,2019
30.0,8,1,2,1,2019
50.0,10,1,2,1,2019
40.0,9,6,1,1,2019
40.0,13,4,1,1,2019
40.0,13,6,1,0,2019
30.0,20,1,2,0,2019
30.0,20,2,2,1,2019
30.0,20,2,1,0,2019
30.0,20,3,1,1,2019
30.0,6,1,2,1,2019
30.0,6,2,2,0,2019
50.0,17,1,2,0,2019
40.0,11,6,1,1,2019
30.0,11,6,1,1,2019
30.0,1,1,2,1,2019
40.0,15,6,1,0,2019
30.0,8,3,2,0,2019
40.0,16,6,1,1,2019
10.0,10,2,2,1,2019
10.0,10,2,2,1,2019
30.0,10,0,2,1,2019
30.0,13,0,1,1,2019
40.0,13,6,1,1,2019
40.0,13,6,1,0,2019
30.0,12,1,2,1,2019
30.0,12,1,1,1,2019
40.0,2,6,1,1,2019
40.0,11,6,1,0,2019
30.0,11,4,2,1,2019
30.0,11,2,1,1,2019
30.0,11,0,1,1,2019
30.0,11,2,2,1,2019
40.0,11,6,1,1,2019
50.0,11,1,2,1,2019
40.0,1,6,1,1,2019
30.0,1,4,1,0,2019
40.0,1,3,2,0,2019
30.0,15,0,2,0,2019
30.0,8,1,1,1,2019
40.0,8,6,1,0,2019
30.0,8,3,1,1,2019
40.0,8,6,2,0,2019
40.0,8,6,1,0,2019
30.0,8,1,2,1,2019
40.0,16,1,2,1,2019
40.0,10,6,1,1,2019
30.0,10,3,2,0,2019
40.0,10,6,1,1,2019
40.0,10,6,2,0,2019
30.0,10,1,2,1,2019
30.0,10,2,1,1,2019
40.0,14,6,1,1,2019
40.0,13,6,1,0,2019
30.0,13,1,1,1,2019
40.0,13,6,1,0,2019
40.0,13,6,1,1,2019
40.0,4,6,1,1,2019
30.0,20,0,1,1,2019
30.0,6,3,2,1,2019
30.0,12,6,1,0,2019
40.0,17,6,1,0,2019
30.0,2,2,2,1,2019
30.0,11,1,2,0,2019
40.0,11,2,2,0,2019
30.0,11,2,2,1,2019
10.0,11,2,2,1,2019
40.0,11,6,1,1,2019
40.0,11,2,2,1,2019
50.0,1,6,1,0,2019
40.0,15,3,1,0,2019
40.0,15,6,1,1,2019
40.0,15,6,1,1,2019
30.0,8,3,2,0,2019
10.0,8,6,1,1,2019
40.0,16,6,1,0,2019
40.0,16,6,1,1,2019
40.0,16,4,1,0,2019
10.0,10,6,1,1,2019
30.0,10,3,1,0,2019
40.0,13,6,1,1,2019
30.0,13,2,2,0,2019
40.0,20,6,1,1,2019
30.0,20,1,2,0,2019
40.0,20,6,1,1,2019
10.0,12,2,1,1,2019
50.0,19,1,1,0,2019
10.0,19,0,1,1,2019
10.0,18,5,1,0,2019
40.0,17,6,1,1,2019
40.0,11,0,1,0,2019
30.0,11,1,2,1,2019
30.0,1,1,1,0,2019
50.0,1,2,1,1,2019
40.0,1,6,1,1,2019
50.0,5,2,2,0,2019
50.0,15,1,2,1,2019
10.0,15,2,1,1,2019
40.0,16,2,2,1,2019
30.0,10,1,1,1,2019
30.0,10,3,2,0,2019
50.0,13,6,1,1,2019
50.0,13,1,1,1,2019
50.0,3,0,2,1,2019
50.0,4,2,2,1,2019
50.0,19,6,1,1,2019
30.0,19,0,1,1,2019
40.0,2,6,1,1,2019
40.0,2,6,2,1,2019
30.0,11,1,1,1,2019
30.0,11,1,1,1,2019
30.0,1,6,1,0,2019
30.0,1,3,1,1,2019
40.0,1,6,2,0,2019
30.0,7,6,1,1,2019
30.0,15,0,1,1,2019
40.0,15,6,1,1,2019
50.0,15,1,2,1,2019
30.0,8,1,2,1,2019
50.0,10,3,2,1,2019
20.0,10,1,2,1,2019
40.0,10,6,1,0,2019
40.0,9,6,1,1,2019
30.0,13,2,2,1,2019
10.0,13,0,1,1,2019
30.0,13,6,1,0,2019
30.0,20,6,1,0,2019
50.0,20,2,1,0,2019
30.0,20,2,1,1,2019
30.0,6,0,2,1,2019
40.0,6,6,1,1,2019
40.0,12,6,1,1,2019
40.0,12,6,1,1,2019
50.0,18,3,1,0,2019
50.0,17,3,1,1,2019
50.0,1,6,1,0,2019
40.0,1,6,1,1,2019
30.0,7,2,1,0,2019
30.0,7,0,2,0,2019
30.0,15,0,1,1,2019
40.0,15,6,2,1,2019
50.0,10,1,2,1,2019
30.0,10,2,2,1,2019
30.0,14,1,2,1,2019
30.0,13,0,1,1,2019
30.0,3,2,1,0,2019
30.0,20,4,1,0,2019
30.0,6,6,2,1,2019
30.0,19,2,1,0,2019
30.0,11,3,1,1,2019
50.0,11,1,2,1,2019
50.0,11,0,1,1,2019
30.0,11,0,1,1,2019
30.0,1,6,1,1,2019
30.0,1,6,2,1,2019
40.0,1,6,1,1,2019
50.0,15,2,2,0,2019
50.0,8,6,1,1,2019
30.0,8,2,2,1,2019
40.0,10,0,2,1,2019
40.0,10,6,1,1,2019
50.0,10,0,2,1,2019
40.0,14,6,1,1,2019
40.0,14,6,1,0,2019
50.0,14,6,1,1,2019
30.0,13,1,1,1,2019
50.0,13,6,2,1,2019
30.0,13,0,2,1,2019
30.0,20,6,1,1,2019
30.0,6,2,2,1,2019
30.0,6,4,2,1,2019
30.0,12,1,2,1,2019
30.0,19,2,1,0,2019
50.0,17,2,2,1,2019
40.0,2,6,1,0,2019
40.0,2,6,1,1,2019
30.0,21,6,1,0,2019
30.0,21,6,1,0,2019
30.0,21,3,1,1,2019
30.0,21,3,1,1,2019
10.0,11,5,2,0,2019
50.0,11,0,2,1,2019
50.0,11,0,2,1,2019
30.0,1,2,2,1,2019
30.0,1,2,2,0,2019
10.0,15,1,2,1,2019
50.0,15,3,2,1,2019
30.0,8,1,2,1,2019
40.0,10,6,1,1,2019
40.0,10,6,1,1,2019
50.0,10,1,2,1,2019
30.0,9,2,2,0,2019
40.0,9,6,1,0,2019
30.0,13,2,2,1,2019
10.0,13,0,1,1,2019
30.0,20,2,2,1,2019
40.0,20,1,2,0,2019
30.0,6,6,1,1,2019
30.0,6,0,2,1,2019
30.0,12,0,1,1,2019
30.0,12,0,2,1,2019
40.0,12,6,1,1,2019
40.0,18,0,1,1,2019
30.0,17,1,1,0,2019
40.0,21,6,1,0,2019
30.0,11,3,2,1,2019
30.0,11,3,2,1,2019
30.0,11,2,1,1,2019
40.0,1,6,1,1,2019
40.0,1,6,1,0,2019
40.0,15,3,1,0,2019
50.0,15,0,1,1,2019
50.0,8,1,2,1,2019
40.0,16,4,1,0,2019
40.0,10,6,1,1,2019
30.0,10,0,2,1,2019
40.0,10,6,1,1,2019
40.0,10,6,1,1,2019
40.0,10,6,1,1,2019
40.0,10,6,1,1,2019
30.0,10,0,2,1,2019
50.0,9,2,1,1,2019
40.0,13,3,1,0,2019
30.0,13,3,2,0,2019
30.0,13,2,1,1,2019
10.0,13,0,1,1,2019
40.0,13,6,1,1,2019
50.0,20,1,2,1,2019
30.0,6,3,2,1,2019
10.0,6,1,2,1,2019
50.0,12,2,2,1,2019
30.0,12,2,2,1,2019
30.0,12,2,2,0,2019
40.0,12,6,1,0,2019
30.0,12,1,2,1,2019
30.0,17,6,1,1,2019
40.0,2,6,1,1,2019
10.0,11,2,2,1,2019
40.0,11,6,1,1,2019
30.0,11,1,2,1,2019
50.0,1,2,1,1,2019
40.0,8,6,1,0,2019
40.0,8,3,1,1,2019
10.0,10,2,2,1,2019
30.0,10,6,1,1,2019
50.0,10,6,1,1,2019
30.0,9,1,2,1,2019
30.0,14,2,2,1,2019
30.0,14,6,1,1,2019
50.0,13,0,2,1,2019
30.0,13,3,2,1,2019
40.0,13,6,1,1,2019
10.0,20,3,2,1,2019
40.0,20,6,1,1,2019
40.0,6,0,1,1,2019
40.0,6,6,1,1,2019
30.0,6,1,2,1,2019
30.0,12,2,1,1,2019
40.0,19,6,1,0,2019
30.0,18,4,1,0,2019
30.0,18,1,2,1,2019
40.0,17,6,1,0,2019
30.0,11,2,2,0,2019
40.0,10,6,1,0,2019
30.0,10,2,2,0,2019
40.0,10,6,1,1,2019
40.0,10,1,2,1,2019
40.0,13,1,1,1,2019
40.0,13,6,1,1,2019
30.0,13,1,2,1,2019
40.0,4,6,1,0,2019
40.0,4,6,1,0,2019
40.0,6,6,1,1,2019
30.0,6,3,2,1,2019
30.0,18,1,1,1,2019
40.0,2,6,1,1,2019
30.0,11,2,1,1,2019
10.0,11,1,2,1,2019
30.0,11,0,2,1,2019
50.0,11,2,2,0,2019
50.0,11,0,2,0,2019
30.0,1,2,1,0,2019
40.0,5,4,2,0,2019
30.0,15,1,2,1,2019
30.0,15,1,2,1,2019
50.0,8,2,2,1,2019
40.0,10,6,1,0,2019
50.0,10,6,2,1,2019
40.0,9,6,2,1,2019
40.0,14,6,1,0,2019
30.0,13,3,1,0,2019
30.0,13,6,1,1,2019
30.0,13,1,2,1,2019
30.0,6,3,2,1,2019
30.0,12,2,2,0,2019
30.0,17,1,2,1,2019
30.0,17,3,2,1,2019
40.0,2,6,1,1,2019
50.0,2,6,1,1,2019
30.0,11,0,2,1,2019
40.0,1,3,2,0,2019
30.0,15,0,2,0,2019
40.0,10,6,1,1,2019
40.0,10,6,1,0,2019
40.0,10,6,1,1,2019
30.0,10,6,1,1,2019
30.0,10,0,2,0,2019
40.0,13,6,1,0,2019
30.0,13,2,2,1,2019
30.0,13,1,2,1,2019
50.0,12,0,2,1,2019
50.0,12,2,2,1,2019
40.0,12,6,1,0,2019
30.0,17,3,2,0,2019
40.0,2,6,1,1,2019
40.0,11,6,1,0,2019
50.0,11,2,2,1,2019
50.0,11,1,2,1,2019
30.0,11,1,2,1,2019
40.0,11,2,2,1,2019
40.0,1,6,1,0,2019
30.0,15,1,2,1,2019
40.0,10,6,1,1,2019
40.0,10,6,1,1,2019
30.0,10,3,2,1,2019
30.0,10,0,1,1,2019
30.0,10,1,2,1,2019
40.0,9,6,1,0,2019
40.0,13,3,1,0,2019
40.0,13,6,1,0,2019
30.0,13,3,1,0,2019
30.0,13,1,1,0,2019
30.0,13,1,2,1,2019
30.0,13,1,1,1,2019
30.0,6,1,1,1,2019
40.0,6,6,1,0,2019
50.0,12,6,1,1,2019
30.0,17,3,2,0,2019
40.0,2,6,1,1,2019
30.0,2,0,1,1,2019
50.0,5,6,1,0,2019
10.0,8,0,2,1,2019
10.0,10,6,1,0,2019
40.0,10,1,2,1,2019
30.0,10,0,1,1,2019
30.0,10,0,1,0,2019
40.0,9,6,1,1,2019
30.0,14,2,2,1,2019
30.0,13,3,2,1,2019
50.0,13,0,2,1,2019
40.0,13,3,1,1,2019
30.0,13,6,1,0,2019
30.0,6,0,2,1,2019
40.0,6,4,1,0,2019
40.0,12,6,1,1,2019
30.0,12,4,2,0,2019
40.0,19,6,1,0,2019
30.0,19,4,1,0,2019
30.0,19,0,2,0,2019
30.0,17,6,2,0,2019
40.0,17,3,1,1,2019
40.0,17,3,1,0,2019
40.0,2,6,1,1,2019
30.0,21,0,1,1,2019
40.0,11,6,1,1,2019
40.0,11,6,2,1,2019
30.0,1,1,2,1,2019
30.0,15,0,2,1,2019
30.0,15,6,1,1,2019
40.0,8,6,1,0,2019
40.0,8,4,2,1,2019
40.0,10,6,1,1,2019
40.0,10,6,1,0,2019
40.0,10,6,2,0,2019
30.0,10,1,2,0,2019
30.0,10,1,2,1,2019
50.0,9,6,1,0,2019
30.0,13,3,1,1,2019
30.0,13,2,1,1,2019
30.0,13,1,2,1,2019
40.0,3,6,1,1,2019
40.0,4,6,1,1,2019
40.0,20,6,1,1,2019
40.0,12,6,1,1,2019
30.0,12,1,1,1,2019
40.0,17,6,1,1,2019
40.0,2,6,1,1,2019
40.0,11,5,1,1,2019
30.0,11,3,2,1,2019
50.0,1,6,1,1,2019
40.0,8,6,1,1,2019
40.0,6,6,1,1,2019
40.0,6,6,1,1,2019
50.0,19,3,2,1,2019
40.0,17,3,1,1,2019
40.0,17,6,2,1,2019
40.0,2,6,1,1,2019
50.0,2,1,1,0,2019
30.0,11,3,1,1,2019
30.0,11,0,2,0,2019
40.0,11,6,1,1,2019
30.0,11,3,1,1,2019
50.0,11,2,2,1,2019
50.0,11,6,1,1,2019
30.0,11,3,2,0,2019
30.0,15,3,1,1,2019
50.0,15,1,1,1,2019
30.0,16,3,1,0,2019
40.0,10,1,1,0,2019
40.0,10,6,1,0,2019
40.0,9,6,2,1,2019
40.0,13,6,1,1,2019
40.0,13,6,1,1,2019
40.0,20,3,1,1,2019
30.0,20,2,2,0,2019
40.0,6,6,1,0,2019
10.0,6,2,1,1,2019
30.0,12,2,2,0,2019
30.0,12,3,1,1,2019
40.0,12,2,1,0,2019
50.0,12,1,2,1,2019
30.0,12,0,2,1,2019
30.0,17,3,2,1,2019
40.0,11,6,1,1,2019
30.0,11,1,2,1,2019
30.0,11,2,2,1,2019
30.0,11,2,2,1,2019
30.0,15,3,1,1,2019
40.0,15,3,1,0,2019
40.0,16,6,1,0,2019
40.0,10,6,1,1,2019
40.0,10,6,1,1,2019
30.0,10,1,2,1,2019
30.0,10,0,1,1,2019
40.0,9,4,1,1,2019
40.0,9,6,1,1,2019
40.0,13,3,1,0,2019
30.0,13,2,1,0,2019
40.0,13,6,1,1,2019
40.0,20,6,1,0,2019
40.0,6,6,1,1,2019
50.0,11,3,2,1,2019
40.0,11,6,1,1,2019
30.0,11,1,1,1,2019
40.0,11,6,1,1,2019
40.0,1,6,1,0,2019
40.0,15,6,1,1,2019
50.0,8,2,1,1,2019
30.0,16,2,1,1,2019
40.0,10,6,1,1,2019
40.0,10,6,2,0,2019
40.0,10,2,2,0,2019
10.0,10,0,2,1,2019
30.0,10,0,1,1,2019
40.0,14,6,1,0,2019
30.0,14,3,2,0,2019
30.0,13,3,2,1,2019
30.0,13,3,1,1,2019
50.0,13,3,1,0,2019
40.0,4,6,1,0,2019
30.0,20,0,1,1,2019
40.0,6,6,1,1,2019
30.0,6,0,2,1,2019
30.0,6,0,2,1,2019
40.0,19,6,1,0,2019
30.0,19,2,2,0,2019
30.0,2,4,1,0,2019
