Código Distrito Centro,Age_range_code,Nationality_code,Sexo_code,Código Tipo Supuesto Urgente,year
13,2,0,1,10.0,2020
13,3,1,1,10.0,2020
16,0,1,1,10.0,2020
4,4,0,1,10.0,2020
6,6,0,1,10.0,2020
15,2,1,1,10.0,2020
13,2,0,1,10.0,2020
15,3,1,1,10.0,2020
6,6,0,0,10.0,2020
11,2,0,0,10.0,2020
6,5,0,0,10.0,2020
13,2,0,1,10.0,2020
6,2,0,1,10.0,2020
4,3,1,1,10.0,2020
6,1,0,1,10.0,2020
9,1,1,1,10.0,2020
15,1,1,1,10.0,2020
13,1,1,1,10.0,2020
13,1,1,1,10.0,2020
13,0,1,1,10.0,2020
8,6,0,1,10.0,2020
15,1,0,1,10.0,2020
15,6,0,1,10.0,2020
11,3,1,1,10.0,2020
13,1,0,1,10.0,2020
7,1,0,1,10.0,2020
12,1,1,1,10.0,2020
6,1,0,1,10.0,2020
6,3,0,1,10.0,2020
17,0,1,1,10.0,2020
6,6,0,1,10.0,2020
6,0,0,1,10.0,2020
20,3,1,1,10.0,2020
8,1,0,1,10.0,2020
8,1,0,1,10.0,2020
12,3,1,1,10.0,2020
8,1,0,1,10.0,2020
13,1,0,1,10.0,2020
6,2,1,1,10.0,2020
13,2,0,1,10.0,2020
12,1,0,1,10.0,2020
1,6,0,0,10.0,2020
10,2,1,1,10.0,2020
6,0,0,1,10.0,2020
1,1,1,1,10.0,2020
10,2,1,1,10.0,2020
6,5,0,0,10.0,2020
1,1,1,1,10.0,2020
9,2,0,1,10.0,2020
6,0,0,1,10.0,2020
7,0,1,1,10.0,2020
15,0,0,0,10.0,2020
19,3,0,1,10.0,2020
6,1,1,1,10.0,2020
6,0,1,1,10.0,2020
6,6,0,1,10.0,2020
13,1,1,1,10.0,2020
13,1,1,1,10.0,2020
6,2,0,1,10.0,2020
17,2,1,1,10.0,2020
12,0,1,1,10.0,2020
15,0,1,1,10.0,2020
6,3,0,1,10.0,2020
6,0,1,1,10.0,2020
12,3,0,1,10.0,2020
2,6,0,1,10.0,2020
20,1,1,1,10.0,2020
10,0,1,0,10.0,2020
12,2,1,1,10.0,2020
13,6,0,1,10.0,2020
10,1,1,1,10.0,2020
10,1,1,1,10.0,2020
6,1,1,1,10.0,2020
20,6,0,1,10.0,2020
6,0,0,1,10.0,2020
12,0,0,1,10.0,2020
20,0,1,1,10.0,2020
16,2,0,0,10.0,2020
16,6,0,1,10.0,2020
5,0,1,1,10.0,2020
6,0,1,1,20.0,2020
8,2,1,0,20.0,2020
8,6,0,1,20.0,2020
12,6,0,1,20.0,2020
13,3,1,1,20.0,2020
4,6,0,1,20.0,2020
8,6,0,1,20.0,2020
15,6,0,1,20.0,2020
11,0,1,0,20.0,2020
8,2,0,0,20.0,2020
8,1,0,0,20.0,2020
13,4,0,0,20.0,2020
13,1,1,1,20.0,2020
8,1,0,0,20.0,2020
6,2,0,0,20.0,2020
6,1,1,1,20.0,2020
10,4,0,0,20.0,2020
13,2,1,0,20.0,2020
11,1,1,1,20.0,2020
16,6,1,0,20.0,2020
6,2,1,0,20.0,2020
7,3,1,0,20.0,2020
15,6,0,1,20.0,2020
11,1,1,1,30.0,2020
6,1,1,1,30.0,2020
13,2,1,0,30.0,2020
11,2,0,1,30.0,2020
3,2,1,1,30.0,2020
17,1,1,1,30.0,2020
13,3,1,1,30.0,2020
13,6,0,1,30.0,2020
13,2,1,0,30.0,2020
10,1,1,1,30.0,2020
6,6,0,1,30.0,2020
13,2,0,1,30.0,2020
7,3,1,1,30.0,2020
8,2,1,1,30.0,2020
4,6,0,1,30.0,2020
12,4,1,1,30.0,2020
10,2,0,1,30.0,2020
10,2,1,1,30.0,2020
20,2,1,1,30.0,2020
13,0,0,1,30.0,2020
12,3,1,1,30.0,2020
4,1,1,0,30.0,2020
11,2,1,0,30.0,2020
13,1,1,1,30.0,2020
8,0,1,1,30.0,2020
17,3,1,0,30.0,2020
1,1,1,0,30.0,2020
8,2,0,1,30.0,2020
6,2,1,1,30.0,2020
6,0,1,1,30.0,2020
10,3,0,0,30.0,2020
12,3,0,1,30.0,2020
17,3,1,1,30.0,2020
11,0,1,1,30.0,2020
17,0,0,1,30.0,2020
12,6,0,0,30.0,2020
6,2,1,1,30.0,2020
4,3,1,0,30.0,2020
13,4,0,1,30.0,2020
13,2,1,0,30.0,2020
20,1,1,1,30.0,2020
6,1,1,1,30.0,2020
8,2,1,1,30.0,2020
12,6,0,1,30.0,2020
10,2,1,1,30.0,2020
7,1,1,1,30.0,2020
3,3,1,1,30.0,2020
6,2,1,1,30.0,2020
15,0,1,0,30.0,2020
17,2,1,0,30.0,2020
15,1,1,1,30.0,2020
6,0,1,1,30.0,2020
13,1,0,1,30.0,2020
4,4,1,0,30.0,2020
11,3,1,1,30.0,2020
13,0,1,1,30.0,2020
13,0,1,0,30.0,2020
16,2,0,0,30.0,2020
8,0,1,1,30.0,2020
16,2,1,1,30.0,2020
1,0,1,0,30.0,2020
6,2,1,1,30.0,2020
6,1,1,1,30.0,2020
11,4,0,1,30.0,2020
6,2,1,1,30.0,2020
3,1,1,1,30.0,2020
12,0,0,1,30.0,2020
8,0,1,1,30.0,2020
12,4,0,1,30.0,2020
9,3,0,1,30.0,2020
13,0,1,1,30.0,2020
6,1,1,1,30.0,2020
6,0,1,1,30.0,2020
6,1,1,1,30.0,2020
13,2,1,1,30.0,2020
12,2,1,1,30.0,2020
14,3,1,0,30.0,2020
10,6,0,0,30.0,2020
17,1,1,1,30.0,2020
4,6,0,1,30.0,2020
11,1,1,1,30.0,2020
8,3,0,1,30.0,2020
6,2,0,1,30.0,2020
6,2,1,1,30.0,2020
8,0,0,0,30.0,2020
6,1,1,1,30.0,2020
5,3,1,0,30.0,2020
16,2,1,1,30.0,2020
15,0,1,0,30.0,2020
6,1,1,1,30.0,2020
13,2,1,1,30.0,2020
12,0,0,1,30.0,2020
17,1,1,1,30.0,2020
11,3,1,1,30.0,2020
4,3,1,1,30.0,2020
11,2,1,1,30.0,2020
8,2,1,1,30.0,2020
8,2,1,1,30.0,2020
20,2,1,1,30.0,2020
8,2,1,1,30.0,2020
2,3,1,0,30.0,2020
4,6,0,0,30.0,2020
12,3,1,1,30.0,2020
13,0,1,1,30.0,2020
7,0,1,0,30.0,2020
13,0,1,1,30.0,2020
4,2,0,1,30.0,2020
13,4,0,1,30.0,2020
10,2,1,1,30.0,2020
13,1,0,1,30.0,2020
15,4,1,0,30.0,2020
8,0,1,1,30.0,2020
6,2,1,1,30.0,2020
10,1,0,0,30.0,2020
4,6,0,1,30.0,2020
13,0,1,1,30.0,2020
11,2,0,1,30.0,2020
12,0,1,0,30.0,2020
8,3,0,1,30.0,2020
13,0,1,1,30.0,2020
15,2,0,1,30.0,2020
15,4,0,0,30.0,2020
1,6,0,1,30.0,2020
13,1,1,0,30.0,2020
12,1,1,1,30.0,2020
1,2,1,1,30.0,2020
11,4,0,1,30.0,2020
11,1,1,1,30.0,2020
6,4,0,1,30.0,2020
16,1,0,1,30.0,2020
7,3,1,1,30.0,2020
15,2,1,1,30.0,2020
12,2,0,0,30.0,2020
6,2,1,1,30.0,2020
7,4,1,0,30.0,2020
11,2,1,1,30.0,2020
7,0,1,0,30.0,2020
8,1,1,1,30.0,2020
19,0,1,1,30.0,2020
11,0,0,1,30.0,2020
13,0,1,1,30.0,2020
11,0,1,0,30.0,2020
13,2,1,1,30.0,2020
9,2,1,0,30.0,2020
11,1,1,1,30.0,2020
15,3,1,0,30.0,2020
11,4,0,1,30.0,2020
12,1,0,0,30.0,2020
11,0,1,1,30.0,2020
6,2,1,1,30.0,2020
6,2,1,1,30.0,2020
15,6,1,1,30.0,2020
13,0,1,1,30.0,2020
8,2,1,1,30.0,2020
11,0,1,1,30.0,2020
15,1,0,1,30.0,2020
11,0,0,0,30.0,2020
11,0,1,1,30.0,2020
20,6,0,1,30.0,2020
16,0,0,0,30.0,2020
8,2,1,1,30.0,2020
13,1,1,1,30.0,2020
1,4,1,1,30.0,2020
13,0,1,1,30.0,2020
4,3,1,1,30.0,2020
8,2,1,1,30.0,2020
8,2,1,0,30.0,2020
13,0,0,0,30.0,2020
6,3,0,0,30.0,2020
6,1,1,1,30.0,2020
8,0,0,0,30.0,2020
4,3,0,1,30.0,2020
4,3,0,0,30.0,2020
11,1,1,1,30.0,2020
11,2,0,0,30.0,2020
13,1,1,0,30.0,2020
13,1,1,1,30.0,2020
13,3,1,1,30.0,2020
10,6,0,1,30.0,2020
1,3,1,1,30.0,2020
11,0,1,1,30.0,2020
13,2,1,0,30.0,2020
10,2,1,0,30.0,2020
11,1,0,1,30.0,2020
11,1,0,1,30.0,2020
10,0,1,1,30.0,2020
6,3,0,0,30.0,2020
13,0,1,0,30.0,2020
1,0,1,1,30.0,2020
12,1,1,1,30.0,2020
13,0,1,1,30.0,2020
12,0,0,1,30.0,2020
1,2,0,0,30.0,2020
17,0,1,1,30.0,2020
6,2,1,1,30.0,2020
6,0,0,1,30.0,2020
6,1,1,1,30.0,2020
6,4,0,0,30.0,2020
15,3,1,0,30.0,2020
8,1,1,0,30.0,2020
8,1,1,1,30.0,2020
3,0,1,1,30.0,2020
6,2,1,1,30.0,2020
15,6,0,0,30.0,2020
8,2,0,1,30.0,2020
19,1,1,0,30.0,2020
13,0,1,1,30.0,2020
13,2,0,1,30.0,2020
6,0,1,1,30.0,2020
13,2,1,1,30.0,2020
8,0,1,1,30.0,2020
13,3,1,1,30.0,2020
7,6,1,1,30.0,2020
4,2,1,1,30.0,2020
6,2,1,1,30.0,2020
10,1,1,0,30.0,2020
4,1,1,1,30.0,2020
1,0,1,1,30.0,2020
8,2,1,1,30.0,2020
8,0,1,1,30.0,2020
6,3,1,0,30.0,2020
